"","ESTIMATE"
"TCGA-WB-A81T-01","0.867977495920832"
"TCGA-WB-A81G-01","0.870367007853948"
"TCGA-WB-A815-01","0.858232586739431"
"TCGA-RW-A688-01","0.985598283097974"
"TCGA-SP-A6QF-01","0.836934422519714"
"TCGA-RW-A684-01","0.939507243780659"
"TCGA-WB-A818-01","0.905271891164278"
"TCGA-RW-A67X-01","0.713806681534266"
"TCGA-S7-A7WU-01","0.915795655626493"
"TCGA-WB-A81I-01","0.963988127115251"
"TCGA-W2-A7HC-01","0.820099806842679"
"TCGA-P8-A6RX-01","0.816137856583131"
"TCGA-TT-A6YN-01","0.932322790565608"
"TCGA-QR-A6GX-01","0.91032584068311"
"TCGA-PR-A5PG-01","0.933671374458861"
"TCGA-RW-A67Y-01","0.989821599242782"
"TCGA-W2-A7HE-01","0.806454497925584"
"TCGA-WB-A80N-01","0.851873014073439"
"TCGA-SR-A6MX-05","0.864682776450811"
"TCGA-WB-A816-01","0.833942957098142"
"TCGA-W2-A7H5-01","0.95663492660475"
"TCGA-S7-A7WP-01","0.881528953096572"
"TCGA-S7-A7WM-01","0.828006595001775"
"TCGA-TT-A6YJ-01","0.988528463438691"
"TCGA-SR-A6MU-01","0.91816890741957"
"TCGA-P8-A5KD-01","0.866260259230589"
"TCGA-S7-A7WN-01","0.880409814806695"
"TCGA-S7-A7X2-01","0.848549729212829"
"TCGA-QR-A6GS-01","0.826042798899506"
"TCGA-SR-A6MX-06","0.959934788001016"
"TCGA-XG-A823-01","0.749271997388368"
"TCGA-WB-A80P-01","0.889998698097951"
"TCGA-TT-A6YK-01","0.843742527125888"
"TCGA-RW-A685-01","0.876413632167355"
"TCGA-RW-A681-01","0.996532136357482"
"TCGA-WB-A81S-01","0.86777781701506"
"TCGA-QR-A6H5-01","0.81780807276489"
"TCGA-QT-A5XK-01","0.847435038203674"
"TCGA-QR-A70K-01","0.971672756550516"
"TCGA-QT-A5XM-01","0.837248485367162"
"TCGA-RW-A68C-01","0.799194566975571"
"TCGA-SR-A6MZ-01","0.762753499256022"
"TCGA-PR-A5PH-01","0.912722624496053"
"TCGA-WB-A81D-01","0.881164516796188"
"TCGA-QR-A7IP-01","0.959887817297687"
"TCGA-WB-A81K-01","0.814243067311168"
"TCGA-QR-A6H2-01","0.938052229001511"
"TCGA-PR-A5PF-01","0.94032884633491"
"TCGA-WB-A817-01","0.897487591568212"
"TCGA-SR-A6MQ-01","0.92172428795943"
"TCGA-WB-A81R-01","0.968085862584104"
"TCGA-SR-A6MS-01","0.922967445086132"
"TCGA-QR-A70P-01","0.957484640456473"
"TCGA-WB-A81Q-01","0.951129499643567"
"TCGA-W2-A7H7-01","0.874348728390235"
"TCGA-RW-A7D0-01","0.837530363450466"
"TCGA-QR-A6GT-01","0.637416414275779"
"TCGA-W2-A7HA-01","0.857708011217563"
"TCGA-W2-A7HH-01","0.949342517226732"
"TCGA-QR-A702-01","0.961089433230898"
"TCGA-RW-A67V-01","0.965784317399375"
"TCGA-RX-A8JQ-01","0.907976224652071"
"TCGA-QT-A5XP-01","0.864691798427164"
"TCGA-RT-A6YA-01","0.84838635925925"
"TCGA-QR-A6GO-01","0.856729466645793"
"TCGA-WB-A81F-01","0.857400981235752"
"TCGA-QR-A6GY-01","0.944232263208035"
"TCGA-QR-A700-01","0.876811735302402"
"TCGA-S7-A7WO-01","0.813694212095654"
"TCGA-WB-A81W-01","0.941867587278293"
"TCGA-SP-A6QC-01","0.785864140496801"
"TCGA-W2-A7UY-01","0.758714067259661"
"TCGA-QR-A706-01","0.814042462750336"
"TCGA-QR-A70H-01","0.949951108302015"
"TCGA-RW-A68F-01","0.941123296771883"
"TCGA-QR-A70G-01","0.785404287402068"
"TCGA-QR-A6H3-01","0.860927519818128"
"TCGA-RM-A68W-01","0.858549454265948"
"TCGA-RW-A680-01","0.91955519662371"
"TCGA-WB-A81H-01","0.7897463285928"
"TCGA-QT-A7U0-01","0.881551494587888"
"TCGA-SP-A6QK-01","0.810427015467372"
"TCGA-WB-A80K-01","0.828503140714247"
"TCGA-S7-A7WR-01","0.906470864993764"
"TCGA-WB-A821-01","0.913408156848874"
"TCGA-WB-A822-01","0.76364803435772"
"TCGA-WB-A81A-01","0.957827724297279"
"TCGA-S7-A7WT-01","0.910669081759758"
"TCGA-QT-A5XN-01","0.924414293635633"
"TCGA-RM-A68T-01","0.804234680792556"
"TCGA-WB-A81M-01","0.988870747465753"
"TCGA-QR-A70W-01","0.959315373457505"
"TCGA-QR-A6GR-01","0.833749447960218"
"TCGA-SR-A6MX-01","0.92669238045353"
"TCGA-QR-A70X-01","0.829848485041603"
"TCGA-WB-A81V-01","0.908489037403544"
"TCGA-QT-A69Q-01","0.846813931432214"
"TCGA-S7-A7WV-01","0.455327354855365"
"TCGA-SQ-A6I4-01","0.796565489006417"
"TCGA-WB-A81E-01","0.910127342102237"
"TCGA-WB-A80V-01","0.968679762031399"
"TCGA-W2-A7HB-01","0.96374707334242"
"TCGA-SR-A6MV-01","0.917239839431217"
"TCGA-QR-A70I-01","0.866848809220796"
"TCGA-QR-A7IN-01","0.913148793435513"
"TCGA-SR-A6N0-01","0.830700441866588"
"TCGA-S7-A7WQ-01","0.723032915150385"
"TCGA-RW-A68B-01","0.951483324530314"
"TCGA-P8-A5KC-01","0.825693972188786"
"TCGA-W2-A7HD-01","0.930013793211537"
"TCGA-W2-A7HF-01","0.958650035094192"
"TCGA-SQ-A6I6-01","0.96319848740659"
"TCGA-WB-A81N-01","0.888662578452004"
"TCGA-QT-A5XJ-01","0.946254894480828"
"TCGA-RW-A68G-01","0.870752699336246"
"TCGA-WB-A80Q-01","0.910456294988206"
"TCGA-RT-A6YC-01","0.801766710391376"
"TCGA-WB-A80M-01","0.962336588291567"
"TCGA-RW-A686-01","0.927244263134629"
"TCGA-WB-A80L-01","0.909871680031665"
"TCGA-SP-A6QG-01","0.935940298468682"
"TCGA-TT-A6YO-01","0.87727381138185"
"TCGA-SR-A6MY-01","0.839920291074194"
"TCGA-WB-A80Y-01","0.937368791291599"
"TCGA-QR-A70C-01","0.874007581575794"
"TCGA-RW-A8AZ-01","0.867767731723537"
"TCGA-QR-A70N-01","0.799752981682726"
"TCGA-TT-A6YP-01","0.829293301631938"
"TCGA-WB-A820-01","0.8326972908382"
"TCGA-RW-A689-01","0.861109445022509"
"TCGA-QT-A5XL-01","0.761391379026894"
"TCGA-QR-A70J-01","0.694184960068734"
"TCGA-SP-A6QD-01","0.897886130835294"
"TCGA-RW-A7CZ-01","0.936291585732467"
"TCGA-P7-A5NY-05","0.799127834052932"
"TCGA-S7-A7WW-01","0.795050454411727"
"TCGA-SP-A6QI-01","0.918017451897303"
"TCGA-QR-A6GU-01","0.899034197927047"
"TCGA-SA-A6C2-01","0.94873280484919"
"TCGA-S7-A7X0-01","0.835067910118001"
"TCGA-WB-A81P-01","0.937544761555988"
"TCGA-P8-A6RY-01","0.928397210981536"
"TCGA-RW-A68A-01","0.955624826578195"
"TCGA-QR-A70E-01","0.963208862955556"
"TCGA-WB-A81J-01","0.939907756437428"
"TCGA-S7-A7X1-01","0.809189869247586"
"TCGA-WB-A819-01","0.819940361300725"
"TCGA-QR-A6H0-01","0.83019328331399"
"TCGA-S7-A7WL-01","0.909858152855372"
"TCGA-S7-A7WX-01","0.80872360778397"
"TCGA-QR-A6H6-01","0.911385791333248"
"TCGA-P7-A5NY-01","0.9453212222113"
"TCGA-RW-A686-06","0.911006658237433"
"TCGA-SR-A6MT-01","0.936787329126522"
"TCGA-QR-A6H1-01","0.912037144621997"
"TCGA-SP-A6QJ-01","0.869050514724171"
"TCGA-QR-A70D-01","0.911648522400801"
"TCGA-RW-A68D-01","0.947620612679751"
"TCGA-QT-A5XO-01","0.916968898727338"
"TCGA-WB-A80O-01","0.766506109892156"
"TCGA-RT-A6Y9-01","0.878956784105168"
"TCGA-SR-A6MP-01","0.891866164259635"
"TCGA-RW-A67W-01","0.883913706943107"
"TCGA-WB-A814-01","0.847336594498062"
