"","Cell type 1","Cell type 2"
"TCGA-WB-A81T-01",0.106673655890281,0.864984361486798
"TCGA-WB-A81G-01",0.1700577306647,0.944329526113476
"TCGA-WB-A815-01",0.155784383164339,0.833443206826563
"TCGA-RW-A688-01",0.016548150474865,0.951753522012392
"TCGA-SP-A6QF-01",0.115116694799789,0.744887091026492
"TCGA-RW-A684-01",0.0615633522276072,0.753876937399985
"TCGA-WB-A818-01",0.0559627914253579,0.921489070618961
"TCGA-RW-A67X-01",0.321246060147021,0.641913508167544
"TCGA-S7-A7WU-01",0.103047945499063,0.922722415636161
"TCGA-WB-A81I-01",0.0454062738553429,0.747066445938842
"TCGA-W2-A7HC-01",0.120665675191561,0.88685750425451
"TCGA-QT-A5XN-01",0.0731937519854907,0.780539650250714
"TCGA-WB-A821-01",0.0911831150564623,0.794193579653149
"TCGA-TT-A6YK-01",0.267838139115582,0.757326934554183
"TCGA-QR-A6GX-01",0.0998103127310683,0.862085833586633
"TCGA-PR-A5PG-01",0.0346428028752644,0.950049136452052
"TCGA-TT-A6YN-01",0.0416041327453227,0.980680425579467
"TCGA-TT-A6YO-01",0.546412547986975,1.12597285175341e-05
"TCGA-W2-A7HE-01",0.213072575949353,0.749701528228166
"TCGA-WB-A80N-01",0.116943628988805,0.910621837025391
"TCGA-SR-A6MX-05",0.182143129459158,1.13213652313516
"TCGA-WB-A816-01",0.258786232263249,0.618045762909282
"TCGA-W2-A7H5-01",0.0443962823637891,1.03919242236992
"TCGA-S7-A7WP-01",0.145410808998431,0.812345014953454
"TCGA-S7-A7WM-01",0.174377665211649,0.681881914594976
"TCGA-TT-A6YJ-01",0.0161029087456816,0.976462272322693
"TCGA-SR-A6MU-01",0.11088988231639,0.566177191959504
"TCGA-S7-A7WN-01",0.0924449590936114,0.728941200562067
"TCGA-P8-A5KD-01",0.0832100744229951,1.08724004575111
"TCGA-QR-A6GS-01",0.175987613808402,0.890181383744999
"TCGA-SR-A6MX-06",0.0751625169904,1.01028619540371
"TCGA-XG-A823-01",0.344563305670617,0.818266518026866
"TCGA-WB-A80P-01",0.134410360568909,0.838702781168753
"TCGA-RW-A686-01",0.0891292909256836,0.904744451362634
"TCGA-RW-A685-01",0.127557685638177,0.770142051800394
"TCGA-RW-A68B-01",0.0573137293594305,0.911092532594074
"TCGA-WB-A81S-01",0.115057831127754,0.839652380882579
"TCGA-QR-A6H5-01",0.322110363734346,0.918309859844851
"TCGA-QR-A70K-01",0.0463209544126226,0.803051169242642
"TCGA-QT-A5XM-01",0.118750916892374,0.879238615481481
"TCGA-RW-A68C-01",0.281004221110477,0.832528279317028
"TCGA-RW-A689-01",0.105647931529047,0.753654602590804
"TCGA-RW-A67Y-01",0.0146882750143591,1.04043213658857
"TCGA-PR-A5PH-01",0.137313147662498,1.00441219257232
"TCGA-WB-A81D-01",0.0668295026040098,0.985531567643706
"TCGA-QR-A7IP-01",0.0799858156128709,0.967197181043135
"TCGA-WB-A81K-01",0.141708502851886,0.735839419372035
"TCGA-QR-A6H2-01",0.0679139080831486,0.743061209230347
"TCGA-PR-A5PF-01",0.0603211178652618,1.04764847101826
"TCGA-WB-A817-01",0.160827906713894,0.787176467431781
"TCGA-SR-A6MQ-01",0.071404344162571,0.980332988794321
"TCGA-WB-A81R-01",0.0236233290852535,0.918593806261578
"TCGA-SR-A6MS-01",0.0734200664284226,0.65676968687648
"TCGA-QR-A6GU-01",0.120961966148351,0.871944784667158
"TCGA-S7-A7WL-01",0.0458440959426751,0.834754473091786
"TCGA-W2-A7H7-01",0.152941732330482,0.820224616282053
"TCGA-RW-A7D0-01",0.0918215979860839,0.705205702408895
"TCGA-QR-A6GT-01",0.535494606316655,0.597231548318878
"TCGA-W2-A7HA-01",0.11581602977036,0.813813215651902
"TCGA-W2-A7HH-01",0.0501276250875736,1.13987254880693
"TCGA-QR-A702-01",0.0388707082938509,0.808819982816419
"TCGA-RW-A67V-01",0.0357783484971039,0.631675244927731
"TCGA-RX-A8JQ-01",0.0941787501809347,0.951182328626997
"TCGA-QT-A5XP-01",0.11943580657961,0.845126527397695
"TCGA-QR-A6GO-01",0.127294991234681,0.773923356426302
"TCGA-WB-A81F-01",0.132212401967247,0.880442494127538
"TCGA-QR-A6GY-01",0.0715445613539345,0.833248988480152
"TCGA-QR-A700-01",0.160278037890385,0.750946028100157
"TCGA-WB-A822-01",0.388067442492145,0.524240618283055
"TCGA-WB-A81W-01",0.0391904490835929,0.889826451867965
"TCGA-W2-A7HF-01",0.0661331550153959,0.952649095831617
"TCGA-W2-A7UY-01",0.244859981455157,0.927703157937436
"TCGA-QR-A706-01",0.29255617057895,0.943711156155986
"TCGA-QR-A70H-01",0.0443986664817386,0.787872279664101
"TCGA-RM-A68W-01",0.176235075724612,0.885780864101374
"TCGA-RW-A68F-01",0.0487628935140471,0.848510872997577
"TCGA-QR-A70G-01",0.190896942602108,0.794053958424097
"TCGA-QR-A6H3-01",0.284132608055172,1.07266710175516
"TCGA-SP-A6QI-01",0.0588578136192706,0.814572852145339
"TCGA-QT-A5XK-01",0.0879703759894409,0.887698283363929
"TCGA-QR-A6H6-01",0.16002190873702,0.961781723708113
"TCGA-WB-A81H-01",0.247066199151587,0.751919095706186
"TCGA-RW-A68D-01",0.0646834222939392,1.11840461079781
"TCGA-SP-A6QK-01",0.317387981552171,0.44206945550674
"TCGA-WB-A80K-01",0.124518586361846,1.01167714163574
"TCGA-S7-A7WR-01",0.0676132459642828,0.957638621627661
"TCGA-P8-A6RX-01",0.280266386923312,0.700699124246799
"TCGA-WB-A81A-01",0.0539791825152448,0.947805599750717
"TCGA-S7-A7WT-01",0.081599020728236,0.867415065710128
"TCGA-RM-A68T-01",0.349773404740335,0.845499155281935
"TCGA-WB-A820-01",0.115193558896291,1.00279485645539
"TCGA-QR-A70W-01",0.0367965794117749,0.78066277144473
"TCGA-QR-A6GR-01",0.18199829659016,0.738395023542699
"TCGA-SR-A6MX-01",0.10728761929447,0.966190662285608
"TCGA-QR-A70X-01",0.140628228904601,0.623346114149645
"TCGA-WB-A81V-01",0.0853378888481814,0.809301337646736
"TCGA-QT-A69Q-01",0.0814829268017587,0.913360976703922
"TCGA-S7-A7WV-01",0.863859598002103,0.00637644718507272
"TCGA-SQ-A6I4-01",0.171598866080547,0.618256752273941
"TCGA-WB-A81E-01",0.0967495114642928,1.02092631202492
"TCGA-WB-A80V-01",0.0180652221117809,0.806648250302522
"TCGA-WB-A81M-01",0.00250252643413084,1.13666083477481
"TCGA-W2-A7HB-01",0.0421057867661602,1.09643349847689
"TCGA-SR-A6MV-01",0.11984193828642,0.798819661597478
"TCGA-QR-A70I-01",0.218822476222438,0.816556623582572
"TCGA-QR-A7IN-01",0.0956518542962344,0.815346476357884
"TCGA-S7-A7WO-01",0.516167157531158,0.37785563873866
"TCGA-SR-A6N0-01",0.336102785142466,0.545859345279858
"TCGA-S7-A7WQ-01",0.363327053186869,0.699084918992287
"TCGA-RW-A681-01",1.2253402769413e-06,1.01341728379379
"TCGA-P8-A5KC-01",0.272865845170845,1.04769374921289
"TCGA-W2-A7HD-01",0.0456206749102505,0.928375228484066
"TCGA-RT-A6Y9-01",0.0966526935267586,0.826951248102695
"TCGA-SQ-A6I6-01",0.030233175114726,0.961060028850252
"TCGA-WB-A81N-01",0.0947639311331455,0.912128085792141
"TCGA-QT-A5XJ-01",0.116963325386737,1.14762783424067
"TCGA-S7-A7X2-01",0.104565487606136,0.841047939688929
"TCGA-RW-A68G-01",0.178395938694737,0.611776977982467
"TCGA-WB-A80Q-01",0.096799054106726,0.832418434053618
"TCGA-RT-A6YC-01",0.212305176461124,0.765975431361832
"TCGA-WB-A80M-01",0.0356766251743,0.823413417786672
"TCGA-WB-A80L-01",0.0907896573493517,0.838085733518657
"TCGA-SP-A6QG-01",0.0876751108201372,0.939924941676359
"TCGA-SR-A6MY-01",0.166302187253633,0.773609241258854
"TCGA-WB-A80Y-01",0.0664564388640701,0.876778185741137
"TCGA-QR-A70C-01",0.178088564855896,0.803646903719957
"TCGA-RW-A8AZ-01",0.138239467115628,0.660560254309364
"TCGA-QR-A70N-01",0.262471894908276,0.806134155632433
"TCGA-TT-A6YP-01",0.253672097477824,0.893816786569733
"TCGA-SR-A6MZ-01",0.21212831769681,0.851058895755351
"TCGA-QT-A5XL-01",0.422859465662687,0.782471084803851
"TCGA-QR-A70J-01",0.510991626435558,0.677061210858672
"TCGA-SP-A6QD-01",0.156665563331046,0.69604241601025
"TCGA-RW-A7CZ-01",0.120456916822051,0.873553235647172
"TCGA-SP-A6QC-01",0.174848424317265,0.901105563284073
"TCGA-P7-A5NY-05",0.175810067778954,0.876710610347139
"TCGA-S7-A7WW-01",0.190844883413388,0.636567167432142
"TCGA-QR-A70P-01",0.0714514269337167,0.871498028041757
"TCGA-SA-A6C2-01",0.0837198322180027,0.984840454375079
"TCGA-S7-A7X0-01",0.230717561946651,0.916474328527425
"TCGA-WB-A81P-01",0.0679174342020011,1.02048496532706
"TCGA-P8-A6RY-01",0.0774700388546979,0.747015152523775
"TCGA-RW-A68A-01",0.0506993946051593,0.944395922763636
"TCGA-QR-A70E-01",0.0450540537414159,0.906190971615614
"TCGA-WB-A81J-01",0.0673576659041941,0.859535352545563
"TCGA-S7-A7X1-01",0.253151974867874,0.782812414486383
"TCGA-WB-A819-01",0.097191093661025,0.985226203344123
"TCGA-QR-A6H0-01",0.313046164563311,0.985055770040076
"TCGA-WB-A81Q-01",0.0449799217066015,1.02493365788786
"TCGA-S7-A7WX-01",0.121315189354676,0.846200260361863
"TCGA-RW-A680-01",0.127753326571521,0.685564768936973
"TCGA-P7-A5NY-01",0.0327062587776636,1.01654110103376
"TCGA-RW-A67W-01",0.0694264278376164,0.712256406608022
"TCGA-SR-A6MT-01",0.0431622642512879,0.804808217935641
"TCGA-QR-A6H1-01",0.0708227318583215,0.811347407193935
"TCGA-SP-A6QJ-01",0.0905543691446212,0.766886396651272
"TCGA-QR-A70D-01",0.0999506829596597,0.924632961869403
"TCGA-QT-A7U0-01",0.0886678968128247,0.960531219056862
"TCGA-QT-A5XO-01",0.090353021833965,0.926985054021247
"TCGA-RT-A6YA-01",0.141745036923897,0.748624859498986
"TCGA-WB-A80O-01",0.215373503733652,0.89707063088201
"TCGA-SR-A6MP-01",0.103758125998429,0.813511650027852
"TCGA-RW-A686-06",0.15119801366164,0.890515256109676
"TCGA-WB-A814-01",0.185267090121191,0.802499574908596
